,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,Home or apt,Hotel room,Private room,Shared room,Private Bath,Shared Bath,bathrooms_number,amenities,not_a_superhost,superhost
3113,80939.0,4,2.0,4.0,30.0,5,20,1,0,0,0,1,0,1.5,17.0,1,0
3114,1918.0,4,1.0,3.0,40.0,2,42,1,0,0,0,1,0,1.0,17.0,1,0
3115,15856.0,6,2.0,2.0,55.0,4,1,1,0,0,0,1,0,2.0,18.0,0,1
3116,3508.0,2,1.0,1.0,23.0,1,10,0,0,1,0,0,1,1.0,13.0,1,0
3117,80939.0,4,2.0,3.0,40.0,1,41,1,0,0,0,1,0,1.0,15.0,0,1
3118,48959.0,2,1.0,1.0,29.0,2,37,0,0,1,0,0,1,1.0,15.0,0,1
3119,38531.0,4,2.0,3.0,27.0,2,127,1,0,0,0,1,0,1.0,20.0,1,0
3120,5541.0,5,3.0,3.0,79.0,4,17,1,0,0,0,1,0,1.0,16.0,1,0
3121,80939.0,2,1.0,1.0,26.0,1,130,1,0,0,0,1,0,1.0,18.0,0,1
3122,15856.0,4,1.0,1.0,35.0,1,3,1,0,0,0,1,0,1.0,13.0,1,0
3123,80939.0,2,1.0,1.0,30.0,1,180,1,0,0,0,1,0,1.0,18.0,0,1
3124,80939.0,3,1.0,1.0,30.0,3,0,1,0,0,0,1,0,1.0,11.0,1,0
3125,5541.0,5,2.0,3.0,34.0,3,240,1,0,0,0,1,0,1.0,18.0,0,1
3126,5541.0,2,1.0,1.0,24.0,2,35,1,0,0,0,1,0,1.0,11.0,1,0
3127,165084.0,4,1.0,2.0,46.0,2,132,1,0,0,0,1,0,1.0,19.0,0,1
3128,22164.0,6,3.0,5.0,115.0,1,41,1,0,0,0,1,0,1.5,18.0,1,0
3129,12424.0,3,2.0,3.0,45.0,3,16,1,0,0,0,1,0,1.5,20.0,0,1
3130,15856.0,2,1.0,1.0,23.0,2,61,0,0,1,0,0,1,1.0,19.0,1,0
3131,68915.0,6,2.0,3.0,60.0,3,4,1,0,0,0,1,0,1.0,20.0,1,0
3132,16742.0,5,2.0,3.0,50.0,2,69,1,0,0,0,1,0,1.0,20.0,0,1
3133,8622.0,4,2.0,2.0,30.0,30,0,1,0,0,0,1,0,1.0,7.0,1,0
3134,165084.0,2,1.0,1.0,35.0,1,194,1,0,0,0,1,0,1.0,19.0,0,1
3135,33086.0,6,2.0,3.0,52.0,2,174,1,0,0,0,1,0,1.0,19.0,1,0
3136,68915.0,2,1.0,1.0,55.0,2,56,1,0,0,0,1,0,1.0,8.0,0,1
3137,2457.0,8,3.0,3.0,136.0,2,124,1,0,0,0,1,0,2.0,9.0,0,1
3138,3780.0,4,1.0,2.0,32.0,2,15,1,0,0,0,1,0,1.0,20.0,1,0
3139,23411.0,5,2.0,4.0,50.0,2,10,1,0,0,0,1,0,1.0,18.0,1,0
3140,15856.0,5,2.0,4.0,22.0,2,5,1,0,0,0,1,0,1.0,16.0,1,0
3141,68915.0,6,2.0,6.0,88.0,2,95,1,0,0,0,1,0,1.5,20.0,0,1
3142,6001.0,3,1.0,1.0,38.0,2,244,1,0,0,0,1,0,1.0,18.0,0,1
