,id,host_is_superhost,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,Home or apt,Hotel room,Private room,Shared room,Private Bath,Shared Bath,bathrooms_number,amenities
8338,49216120,t,ΚΥΨΕΛΗ,5,2.0,3.0,41.0,2,20,1,0,0,0,1,0,1.0,17.0
8339,49216827,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,4,2.0,2.0,109.0,3,0,1,0,0,0,1,0,2.0,10.0
8340,49223556,f,ΓΚΥΖΗ,4,2.0,2.0,62.0,1,4,1,0,0,0,1,0,1.0,17.0
8341,49232044,t,ΚΟΛΩΝΑΚΙ,4,1.0,2.0,54.0,2,9,1,0,0,0,1,0,1.0,16.0
8342,49237094,t,ΠΡΟΜΠΟΝΑ,5,2.0,2.0,40.0,2,8,1,0,0,0,1,0,1.0,19.0
8343,49238286,t,ΠΡΟΜΠΟΝΑ,6,2.0,5.0,45.0,2,13,1,0,0,0,1,0,1.0,18.0
8344,49238809,t,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,6,2.0,2.0,54.0,2,6,1,0,0,0,1,0,1.0,16.0
8345,49241187,f,ΝΕΟΣ ΚΟΣΜΟΣ,4,2.0,3.0,59.0,2,3,1,0,0,0,1,0,1.0,18.0
8346,49245479,f,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,2,1.0,1.0,35.0,7,1,1,0,0,0,1,0,1.0,17.0
8347,49252689,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,4,1.0,1.0,27.0,20,2,1,0,0,0,1,0,1.0,19.0
8348,49252880,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,4,1.0,2.0,20.0,20,0,1,0,0,0,1,0,1.0,18.0
8349,49254397,t,ΣΤΑΔΙΟ,2,1.0,1.0,34.0,3,10,1,0,0,0,1,0,1.0,19.0
8350,49255155,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,7,2.0,4.0,150.0,1,4,1,0,0,0,1,0,1.0,11.0
8351,49268777,t,ΚΟΛΩΝΑΚΙ,3,1.0,1.0,44.0,2,19,1,0,0,0,1,0,1.0,17.0
8352,49268870,f,ΑΜΠΕΛΟΚΗΠΟΙ,2,1.0,1.0,96.0,2,1,1,0,0,0,1,0,1.0,16.0
8353,49269362,t,ΝΕΑ ΚΥΨΕΛΗ,4,1.0,2.0,40.0,3,6,1,0,0,0,1,0,1.0,16.0
8354,49282017,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,2.0,46.0,1,38,1,0,0,0,1,0,1.0,16.0
8355,49282422,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,2.0,46.0,1,48,1,0,0,0,1,0,1.0,17.0
